metric,application,reference,absolute_difference,status
case_06.normality.dagostino.statistic,113.84999621483945,113.84999621483892,5.258016244624741e-13,PASS
case_06.normality.shapiro.p,1.6313252358883916e-05,1.591400183535622e-05,3.9925052352769805e-07,PASS
case_06.normality.shapiro.reject_0_05,1.0,1.0,0.0,PASS
case_06.normality.shapiro.statistic,0.765396120890937,0.7647527326267247,0.0006433882642122857,PASS
case_06.one_way.df1,2.0,2.0,0.0,PASS
case_06.one_way.df2,17.0,17.0,0.0,PASS
case_06.one_way.p,0.023872835065517156,0.02387283506551698,1.7694179454963432e-16,PASS
case_06.one_way.statistic,4.690271945115816,4.690271945115823,7.105427357601002e-15,PASS
case_06.paired_t.df,10.0,10.0,0.0,PASS
case_06.paired_t.p,0.00041980504903201536,0.00041980504903201514,2.168404344971009e-19,PASS
case_06.paired_t.statistic,5.168849532791791,5.168849532791791,0.0,PASS
case_06.pearson.df,7.0,7.0,0.0,PASS
case_06.pearson.p,0.0014424218487246604,0.0014424218487247645,1.0408340855860843e-16,PASS
case_06.pearson.statistic,-0.8866548897697919,-0.8866548897697921,2.220446049250313e-16,PASS
case_06.spearman.df,7.0,7.0,0.0,PASS
case_06.spearman.p,0.002796606072589458,0.0027966060725894584,4.336808689942018e-19,PASS
case_06.spearman.statistic,-0.8620689655172413,-0.8620689655172414,1.1102230246251565e-16,PASS
case_06.two_way.factor_a.F,259.54885390727674,259.54885390727804,1.3073986337985843e-12,PASS
case_06.two_way.factor_a.df1,1.0,1.0,0.0,PASS
case_06.two_way.factor_a.df2,18.0,18.0,0.0,PASS
case_06.two_way.factor_a.p,3.879165655737027e-12,3.879165655736856e-12,1.71252236192619e-25,PASS
case_06.two_way.factor_b.F,69.64085621504725,69.64085621504759,3.410605131648481e-13,PASS
case_06.two_way.factor_b.df1,2.0,2.0,0.0,PASS
case_06.two_way.factor_b.df2,18.0,18.0,0.0,PASS
case_06.two_way.factor_b.p,3.367817003183935e-09,3.367817003183797e-09,1.3813916229635562e-22,PASS
case_06.two_way.interaction.F,2.319849029199268,2.319849029199298,3.019806626980426e-14,PASS
case_06.two_way.interaction.df1,2.0,2.0,0.0,PASS
case_06.two_way.interaction.df2,18.0,18.0,0.0,PASS
case_06.two_way.interaction.p,0.1269453718010689,0.12694537180106558,3.3306690738754696e-15,PASS
case_06.welch_one_way.df1,2.0,2.0,0.0,PASS
case_06.welch_one_way.df2,8.7,8.7,0.0,PASS
case_06.welch_one_way.p,0.008046730919188136,0.008046730919188115,2.0816681711721685e-17,PASS
case_06.welch_one_way.statistic,8.817462451070897,8.817462451070897,0.0,PASS
case_06.welch_t.df,6.6,6.6,0.0,PASS
case_06.welch_t.p,0.028748501209276814,0.028748501209277376,5.620504062164855e-16,PASS
case_06.welch_t.statistic,-2.7810815217530664,-2.781081521753066,4.440892098500626e-16,PASS
case_06.wilcoxon.p,0.0038572928299416276,0.0038572928299425158,8.881784197001252e-16,PASS
case_06.wilcoxon.statistic,0.0,0.0,0.0,PASS
case_07.friedman.df,2.0,2.0,0.0,PASS
case_07.friedman.p,0.000911881965554473,0.0009118819655545162,4.3259666682171627e-17,PASS
case_07.friedman.statistic,14.0,14.0,0.0,PASS
case_07.kruskal_wallis.df,2.0,2.0,0.0,PASS
case_07.kruskal_wallis.p,0.9329899011499069,0.9329899011499068,1.1102230246251565e-16,PASS
case_07.kruskal_wallis.statistic,0.13872180451127747,0.13872180451127747,0.0,PASS
case_07.mann_whitney.p,0.8621866944007623,0.8621866944007626,2.220446049250313e-16,PASS
